isFraud,TransactionAmt,ProductCD,provenienza,email_provider,TransactionDate,tipo_carta,brand_carta
0,159.0,H,India,other,2024-07-02 00:03:11,Credit,Visa
0,422.5,R,China,gmail,2024-07-02 00:03:18,Debit,Visa
0,186.0,C,India,icloud,2024-07-02 00:06:39,Credit,Visa
0,159.95,R,China,gmail,2024-07-02 00:07:18,Prepaid,Mastercard
0,184.0,C,China,outlook,2024-07-02 00:10:14,Debit,Visa
0,363.89,C,Brazil,gmail,2024-07-02 00:11:07,Debit,Visa
0,200.0,R,India,gmail,2024-07-02 00:11:17,Debit,Visa
0,774.0,H,India,icloud,2024-07-02 00:14:49,Debit,Visa
0,226.0,R,India,outlook,2024-07-02 00:16:37,Debit,Visa
0,130.95,S,China,icloud,2024-07-02 00:16:58,Debit,Mastercard
0,210.95,S,China,outlook,2024-07-02 00:18:02,Credit,Visa
0,500.0,H,United States,outlook,2024-07-02 00:18:29,Credit,Visa
0,380.21,R,China,other,2024-07-02 00:20:01,Debit,Visa
0,2454.0,R,United States,outlook,2024-07-02 00:20:50,Debit,Mastercard
0,200.0,R,India,gmail,2024-07-02 00:21:10,Debit,Mastercard
0,250.0,S,China,other,2024-07-02 00:21:20,Credit,Visa
0,300.0,C,Indonesia,gmail,2024-07-02 00:22:09,Credit,Visa
0,445.0,C,Russia,other,2024-07-02 00:22:13,Credit,Visa
0,554.0,C,Italy,gmail,2024-07-02 00:23:48,Debit,Visa
0,280.0,S,China,icloud,2024-07-02 00:24:22,Debit,Visa
0,300.0,H,United States,outlook,2024-07-02 00:24:54,Debit,Visa
0,280.0,W,United States,gmail,2024-07-02 00:26:08,Credit,Mastercard
0,411.95,R,China,outlook,2024-07-02 00:26:33,Credit,Mastercard
0,125.674,C,Mexico,other,2024-07-02 00:26:37,Debit,Visa
0,140.0,W,China,other,2024-07-02 00:28:10,Debit,Visa
0,318.95,R,China,icloud,2024-07-02 00:28:31,Debit,Visa
0,527.0,C,India,yahoo,2024-07-02 00:29:36,Credit,Visa
0,159.0,R,Germany,other,2024-07-02 00:30:18,Credit,Mastercard
0,226.0,W,Russia,gmail,2024-07-02 00:32:07,Debit,Visa
0,150.0,W,China,icloud,2024-07-02 00:32:52,Debit,Visa
0,1153.95,C,Indonesia,other,2024-07-02 00:34:09,Debit,Visa
0,210.95,W,Japan,icloud,2024-07-02 00:34:23,Debit,Visa
0,200.0,H,China,outlook,2024-07-02 00:35:09,Credit,Visa
0,444.61,W,South Korea,outlook,2024-07-02 00:38:17,Debit,Visa
0,757.07,W,China,gmail,2024-07-02 00:38:27,Debit,Visa
0,2594.95,H,China,other,2024-07-02 00:38:36,Prepaid,Mastercard
0,3000.0,H,India,gmail,2024-07-02 00:39:00,Debit,Discover
0,129.299,W,India,gmail,2024-07-02 00:40:04,Debit,Visa
0,208.43,W,China,icloud,2024-07-02 00:40:12,Debit,Mastercard
0,200.0,W,United States,icloud,2024-07-02 00:40:24,Debit,Visa
0,200.0,H,Mexico,icloud,2024-07-02 00:41:12,Debit,Visa
0,587.82,W,China,outlook,2024-07-02 00:42:56,Credit,Mastercard
0,479.95,C,India,outlook,2024-07-02 00:43:32,Prepaid,Mastercard
0,171.0,S,United Kingdom,outlook,2024-07-02 00:44:26,Debit,Visa
